N_unmapped	1113211	1113211	1113211
N_multimapping	2265242	2265242	2265242
N_noFeature	1848335	12761069	12883075
N_ambiguous	2725149	657034	652192
ENSG00000223972	0	0	0
ENSG00000227232	177	99	78
ENSG00000278267	3	0	3
ENSG00000243485	0	0	0
ENSG00000284332	0	0	0
ENSG00000237613	0	0	0
ENSG00000268020	0	0	0
ENSG00000240361	0	0	0
ENSG00000186092	0	0	0
ENSG00000238009	0	0	0
ENSG00000239945	0	0	0
ENSG00000233750	0	0	0
ENSG00000268903	2	0	2
ENSG00000269981	1	1	0
ENSG00000239906	0	0	0
ENSG00000241860	0	0	0
ENSG00000222623	0	0	0
ENSG00000241599	0	0	0
ENSG00000279928	0	0	0
ENSG00000279457	289	127	162
ENSG00000273874	0	0	0
ENSG00000228463	1	0	1
ENSG00000286448	0	0	0
ENSG00000236679	0	0	0
ENSG00000236601	0	0	0
ENSG00000237094	98	44	54
ENSG00000269732	0	0	0
ENSG00000284733	0	0	0
ENSG00000233653	0	0	0
ENSG00000250575	5	3	2
ENSG00000278757	0	0	0
ENSG00000230021	9	62	72
ENSG00000235146	0	0	0
ENSG00000225972	8	5	3
ENSG00000225630	179	111	68
ENSG00000237973	322	204	148
ENSG00000278791	0	3	0
ENSG00000229344	11	9	8
ENSG00000240409	0	0	0
ENSG00000248527	4104	2132	1972
ENSG00000198744	16	10	7
ENSG00000268663	0	0	0
ENSG00000284662	0	0	0
ENSG00000229376	1	1	0
ENSG00000228327	203	85	118
ENSG00000223181	0	0	0
ENSG00000229905	0	0	0
ENSG00000237491	25	12	23
ENSG00000285268	0	0	0
ENSG00000230092	0	6	5
ENSG00000177757	3	7	0
ENSG00000228794	416	291	246
ENSG00000225880	57	39	46
ENSG00000288531	3	1	2
ENSG00000230368	0	0	0
ENSG00000234711	0	0	0
ENSG00000283040	0	1	0
ENSG00000272438	6	6	0
ENSG00000230699	14	4	10
ENSG00000241180	0	0	0
ENSG00000223764	48	26	22
ENSG00000187634	27	435	408
ENSG00000188976	8056	4495	4377
ENSG00000187961	1282	646	636
ENSG00000187583	144	87	94
ENSG00000187642	4	17	24
ENSG00000272512	128	62	66
ENSG00000188290	542	287	255
ENSG00000187608	124	56	69
ENSG00000231702	0	1	0
